boy,kilo,yas,tahmin,ba?ar?,,,
130,30,10,12,10,4,355.8367769,
125,36,11,11,11,0,319.1095041,
135,34,10,10,10,0,355.8367769,
133,30,9,10,9,1,394.5640496,
129,38,12,11,12,1,284.3822314,
180,90,30,35,30,25,1.291322314,
190,80,25,26,25,1,14.92768595,
175,90,35,47,35,144,37.65495868,
177,60,22,22,22,0,47.10950413,
185,105,33,33,33,0,17.10950413,
165,55,27,27,27,0,3.473140496,
155,50,44,44,44,0,229.1095041,
160,58,28.45,27,28.45,2.1025,0.171095041,
162,59,41,40,41,1,147.2913223,
167,62,55,50,55,25,683.1095041,
174,70,47,47,47,0,328.927686,
193,90,28.45,29,28.45,0.3025,0.171095041,
187,80,27,22,27,25,3.473140496,
183,88,28,33,28,25,0.745867769,
159,40,29,22,29,49,0.018595041,
164,66,32,33,32,1,9.83677686,
166,56,42,44,42,4,172.5640496,
,,,28.86363636,,308.405,3406.714091,0.909471417
